id,imdb_id,original_title,release_date,runtime,revenue,action,adventure,animation,comedy,crime,documentary,drama,family,fantasy,history,horror,music,mystery,romance,science fiction,tv movie,thriller,war,western,qtd_genres,day,month,year,day_of_week
442.0,tt0314524,Populärmusik från Vittula,2004-10-01,105.0,28000000.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,10,2004,Friday
445.0,tt0387898,Caché,2005-10-05,117.0,36000000.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,3,5,10,2005,Wednesday
446.0,tt0351238,Lichter,2003-02-11,105.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,11,2,2003,Tuesday
451.0,tt0113627,Leaving Las Vegas,1995-10-27,111.0,49800000.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,27,10,1995,Friday
452.0,tt0154421,Idioterne,1998-04-28,117.0,7235.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,28,4,1998,Tuesday
453.0,tt0268978,A Beautiful Mind,2001-12-11,135.0,313542341.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,11,12,2001,Tuesday
454.0,tt0117509,Romeo + Juliet,1996-11-01,120.0,147298761.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,1,11,1996,Friday
455.0,tt0286499,Bend It Like Beckham,2002-04-11,112.0,76578641.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,11,4,2002,Thursday
457.0,tt0048624,Sissi,1955-12-22,102.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,22,12,1955,Thursday
458.0,tt0049762,Sissi - Die junge Kaiserin,1956-12-01,107.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,1,12,1956,Saturday
459.0,tt0050974,Sissi - Schicksalsjahre einer Kaiserin,1957-12-18,109.0,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,3,18,12,1957,Wednesday
460.0,tt0416331,Alles auf Zucker!,2004-12-31,91.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31,12,2004,Friday
462.0,tt0195685,Erin Brockovich,2000-03-17,131.0,256271286.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,17,3,2000,Friday
464.0,tt0382330,Så som i himmelen,2004-09-03,132.0,0.0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,4,3,9,2004,Friday
465.0,tt0094596,36 Fillette,1988-03-03,88.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,3,3,1988,Thursday
466.0,tt0067309,Klute,1971-06-23,114.0,12512637.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,23,6,1971,Wednesday
467.0,tt0242527,The Hole,2001-04-20,102.0,7819851.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,4,20,4,2001,Friday
468.0,tt0102494,My Own Private Idaho,1991-02-01,104.0,6401336.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1991,Friday
469.0,tt0088184,Stranger Than Paradise,1984-10-01,89.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,10,1984,Monday
470.0,tt0315733,21 Grams,2003-09-06,124.0,60427839.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,6,9,2003,Saturday
471.0,tt0129774,Bandyta,1997-11-07,102.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7,11,1997,Friday
473.0,tt0138704,Pi,1998-07-10,84.0,3221152.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,3,10,7,1998,Friday
475.0,tt0061418,Bonnie and Clyde,1967-07-18,110.0,50700000.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,18,7,1967,Tuesday
476.0,tt0097240,Drugstore Cowboy,1989-10-20,98.0,4729352.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,20,10,1989,Friday
479.0,tt0162650,Shaft,2000-06-15,99.0,107626125.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,15,6,2000,Thursday
